File Name,Folder,Start(CET),Duration[s],Peak[Mb/s],Protocol,Src Port(s),Dst Port(s),Src IPs,IPs Fragmented,Flags
IPSTR-SYN-S-02,TrafficAnalysis_IPSTR-SYN-S-02_2014-12-21_20_25_15.txt/,1419193522,220,68.8853,TCP,80:HTTP+SOME,80:HTTP+SOME,25,0,RST(3)SYN(24)
IPSTR-UDP-S-01,TrafficAnalysis_IPSTR-UDP-S-01_2014-12-21_19_52_26.txt/,1419191547,298,373.3896,UDP,1900:SSDP+MANY,80:HTTP+MANY,57226,0,
IPSTR-UDP-S-02,TrafficAnalysis_IPSTR-UDP-S-02_2014-12-21_20_30_49.txt/,1419193850,298,429.1959,UDP,1900:SSDP+MANY,80:HTTP+MANY,63632,0,
IPSTR-UDPLAG-S-01,TrafficAnalysis_IPSTR-UDPLAG-S-01_2014-12-21_19_59_32.txt/,1419191973,298,21.904655,UDP,80:HTTP+SOME,80:HTTP+MANY,28,0,
IPSTR-UDPLAG-S-02,TrafficAnalysis_IPSTR-UDPLAG-S-02_2014-12-21_20_46_09.txt/,1419194770,298,21.221647,UDP,80:HTTP+SOME,80:HTTP+MANY,23,0,
KRYPT-CHARGEN-S-01,TrafficAnalysis_KRYPT-CHARGEN-S-01_2014-12-22_16_18_09.txt/,1419265089,299,390.2358,UDP,19:CharGen+MANY,51096:unknown+MANY,274,0,
KRYPT-CHARGEN-S-02,TrafficAnalysis_KRYPT-CHARGEN-S-02_2014-12-25_15_40_16.txt/,1419522016,299,688.8099,UDP,19:CharGen+MANY,63977:unknown+MANY,450,0,
KRYPT-DNS-S-01,TrafficAnalysis_KRYPT-DNS-S-01_2014-12-20_20_44_56.txt/,1419108297,297,451.29382,UDP,19:CharGen+MANY,13290:unknown+MANY,263,0,
KRYPT-DNS-S-02,TrafficAnalysis_KRYPT-DNS-S-02_2014-12-21_21_12_12.txt/,1419196333,298,445.87625,UDP,19:CharGen+SOME,36569:unknown+MANY,266,0,
KRYPT-ESSYN-S-01,TrafficAnalysis_KRYPT-ESSYN-S-01_2014-12-22_16_23_50.txt/,1419265437,271,31.498304,TCP,MANY,80:HTTP+,1174759,0,CWR(6)ECE(5)ACK(6702)PSH(1)RST(61129)SYN(1174712)FIN(41)
KRYPT-ESSYN-S-02,TrafficAnalysis_KRYPT-ESSYN-S-02_2014-12-23_23_08_06.txt/,1419376098,273,19.52212,TCP,MANY,80:HTTP+SOME,426244,0,CWR(3)ECE(4)ACK(2466)PSH(3)RST(21599)SYN(426261)FIN(15)
KRYPT-NTP-S-01,TrafficAnalysis_KRYPT-NTP-S-01_2015-01-05_22_52_27.txt/,1420498348,298,531.6935,UDP,123:NTP+MANY,80:HTTP+MANY,3133,0,
KRYPT-NTP-S-02,TrafficAnalysis_KRYPT-NTP-S-02_2015-01-06_23_58_00.txt/,1420588681,299,489.90305,UDP,123:NTP+MANY,80:HTTP+MANY,3012,0,
KRYPT-SSDP-S-01,TrafficAnalysis_KRYPT-SSDP-S-01_2014-12-22_16_30_06.txt/,1419265807,298,316.9679,UDP,19:CharGen+MANY,38927:unknown+MANY,277,0,
KRYPT-SSDP-S-02,TrafficAnalysis_KRYPT-SSDP-S-02_2014-12-25_17_14_44.txt/,1419527685,298,748.2527,UDP,19:CharGen+MANY,16372:unknown+MANY,445,0,
KRYPT-SSYN-S-01,TrafficAnalysis_KRYPT-SSYN-S-01_2014-12-20_20_51_41.txt/,1419108710,285,33.407585,TCP,MANY,80:HTTP+SOME,1324346,0,CWR(7)ECE(15)ACK(7418)RST(66414)SYN(1324283)FIN(41)
KRYPT-SSYN-S-02,TrafficAnalysis_KRYPT-SSYN-S-02_2014-12-21_21_04_11.txt/,1419195860,280,44.19984,TCP,MANY,80:HTTP+MANY,1259251,0,CWR(13)ECE(8)ACK(8661)PSH(2)RST(77935)SYN(1259166)FIN(56)
KRYPT-UDPLAG-S-01,TrafficAnalysis_KRYPT-UDPLAG-S-01_2015-01-07_00_22_09.txt/,1420590130,299,20.6908,UDP,19:CharGen+MANY,46875:unknown+MANY,389,0,
KRYPT-UDPLAG-S-02,TrafficAnalysis_KRYPT-UDPLAG-S-02_2015-01-07_00_07_03.txt/,1420589224,298,19.935272,UDP,19:CharGen+SOME,39518:unknown+MANY,389,0,
KRYPT-XSYN-S-01,TrafficAnalysis_KRYPT-XSYN-S-01_2015-01-05_22_45_51.txt/,1420497956,293,40.60909,TCP,MANY,80:HTTP+SOME,1244880,0,CWR(6)ECE(8)ACK(6923)PSH(1)RST(62557)SYN(1244828)FIN(41)
KRYPT-XSYN-S-02,TrafficAnalysis_KRYPT-XSYN-S-02_2015-01-06_23_51_17.txt/,1420588279,293,37.690327,TCP,MANY,80:HTTP+MANY,1467408,0,CWR(11)ECE(10)ACK(8343)RST(74136)SYN(1467308)FIN(46)
LEGION-ARME-S-01,TrafficAnalysis_LEGION-ARME-S-01_2015-01-05_21_51_20.txt/,1420494681,298,0.007568,UDP,53:DNS+,MANY,1,0,
LEGION-ARME-S-02,TrafficAnalysis_LEGION-ARME-S-02_2015-01-05_23_01_20.txt/,1420498881,297,0.0076,UDP,53:DNS+,MANY,1,0,
LEGION-GET-S-01,TrafficAnalysis_LEGION-GET-S-01_2015-01-05_21_58_15.txt/,1420495096,297,0.01144,UDP,53:DNS+MANY,MANY,6,0,
LEGION-HEAD-S-01,TrafficAnalysis_LEGION-HEAD-S-01_2015-01-05_22_05_29.txt/,1420495530,298,0.012416,UDP,53:DNS+MANY,MANY,7,0,
LEGION-POST-S-01,TrafficAnalysis_LEGION-POST-S-01_2015-01-05_22_14_08.txt/,1420496049,298,0.007568,UDP,53:DNS+,MANY,1,0,
LEGION-RUDY-S-01,TrafficAnalysis_LEGION-RUDY-S-01_2015-01-05_22_22_31.txt/,1420496552,297,0.007728,UDP,53:DNS+,MANY,1,0,
LEGION-SLOW-S-01,TrafficAnalysis_LEGION-SLOW-S-01_2015-01-05_22_30_59.txt/,1420497060,297,0.008336,UDP,53:DNS+,MANY,1,0,
LEGION-SUDP-S-01,TrafficAnalysis_LEGION-SUDP-S-01_2014-12-29_19_25_42.txt/,1419881143,298,0.606632,UDP,1900:SSDP+MANY,80:HTTP+MANY,44,0,
LEGION-SUDP-S-02,TrafficAnalysis_LEGION-SUDP-S-02_2014-12-29_14_36_38.txt/,1419863800,298,0.21168,UDP,53:DNS+MANY,80:HTTP+MANY,28,0,
